barcode,product_name,brands,pnns_groups_1,nutriscore_grade,additives_n,fat_100g,proteins_100g,salt_100g,sodium_100g,sugars_100g,energy_100g,carbohydrates_100g,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,url_openfoodfact,pred_log_reg,pred_tree,pred_rand_for,pred_ada_boost,pred_grad_boost,pred_xg_boost,pred_log_reg_descr,pred_tree_descr,pred_rand_for_descr,pred_ada_boost_descr,pred_grad_boost_descr,pred_xg_boost_descr,nutri_descr
'36800406414,Hamburger chips,Food Club,Salty snacks,,5,0.0,0.0,33.025,1.321,0.0,0.0,0.0,0,1,https://world-fr.openfoodfacts.org/produit/0036800406414,C,C,C,C,C,C,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,
'36800417199,Popper Chip Snack Made With Potato  Barbecue,Food Club   Topco Associates  Inc.,unknown,,1,14.29,7.14,181.356,0.725424,10.71,1795.0,71.43,0,0,https://world-fr.openfoodfacts.org/produit/0036800417199,C,D,C,C,D,C,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Qualité nutritionnelle moyenne,
'36800417212,Food club  popped crisps potato chip snacks,Food Club   Topco Associates  Inc.,Composite foods,C,2,16.07,3.57,10.275,0.411,10.71,1941.0,75.0,0,0,https://world-fr.openfoodfacts.org/produit/0036800417212,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'36800417236,Sriracha potato chips  sriracha,Topco Associates  Inc.,Salty snacks,D,3,32.14,7.14,15.175,0.607,3.57,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0036800417236,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578614940,Tortilla Chips,Shearer's Foods Inc.,Salty snacks,D,5,25.0,7.14,1.875,0.75,3.57,2243.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0037578614940,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578616647,Clover valley  potato chips  bbq,Clover Valley   Shearer's Foods Inc.,Salty snacks,D,3,35.71,3.57,20.525,0.821,7.14,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0037578616647,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617149,Clover valley  potato chips  sour cream & onion,Clover Valley   Shearer's Foods Inc.,Salty snacks,D,1,35.71,7.14,14.275,0.571,7.14,2243.0,53.57,0,0,https://world-fr.openfoodfacts.org/produit/0037578617149,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617194,Circle k  favorites  kettle chips  jalapeno,Circle K   Shearer's Foods Inc.,Salty snacks,D,1,28.57,7.14,1.16,0.464,7.14,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578617194,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617200,Sour Cream & Onion Kettle Chips,Shearer's Foods Inc.,Salty snacks,D,2,28.57,7.14,1.25,0.5,7.14,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578617200,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617217,Tortilla Chips,Shearer's Foods Inc.,Salty snacks,D,7,21.43,7.14,1.875,0.75,3.57,2092.0,64.29,0,1,https://world-fr.openfoodfacts.org/produit/0037578617217,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617224,Clover valley  tortilla chips  ranch,Clover Valley,Salty snacks,D,12,21.43,7.14,16.075,0.643,3.57,2092.0,67.86,0,0,https://world-fr.openfoodfacts.org/produit/0037578617224,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617231,Kettle chips,Circle K   Shearer's Foods Inc.,Salty snacks,D,3,28.57,3.57,1.875,0.75,7.14,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578617231,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617545,Shearer's  Crinkle Cut Kettle Cooked Potato Chips  Rosemary & Feta,Shearer's Foods Inc.,Salty snacks,D,1,28.57,7.14,16.975,0.679,7.14,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578617545,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617552,Kettle chips,Kettle   Shearer's Foods Inc.,Salty snacks,D,1,28.57,7.14,16.075,0.643,7.14,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0037578617552,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617569,Shearer's  Potato Chips  Italian Sausage & Peppers,Shearer's Foods Inc.,Salty snacks,D,4,35.71,7.14,1.875,0.75,7.14,2243.0,53.57,0,0,https://world-fr.openfoodfacts.org/produit/0037578617569,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617576,Shearer's  Potato Chips  Salt & Pepper,Shearer's Foods Inc.,Salty snacks,D,6,35.71,7.14,16.975,0.679,7.14,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0037578617576,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617606,Taste Works  Kettle Cooked Potato Chips  Holla Jalapeno,Shearer's Foods Inc.,Salty snacks,D,1,29.98,5.29,13.225,0.529,5.29,2138.0,58.2,0,0,https://world-fr.openfoodfacts.org/produit/0037578617606,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617613,Taste Works  Kettle Cooked Potato Chips  Salt & Vinegrrr,Shearer's Foods Inc.,Salty snacks,,3,29.98,5.29,17.907,0.71628,5.29,2138.0,58.2,0,0,https://world-fr.openfoodfacts.org/produit/0037578617613,D,D,D,D,D,D,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'37578617620,Taste Works  Kettle Cooked Potato Chips,Shearer's Foods Inc.,Salty snacks,D,2,26.46,5.29,15.425,0.617,7.05,2067.0,61.73,0,0,https://world-fr.openfoodfacts.org/produit/0037578617620,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617637,Taste Works  Crinkle Cut Potato Chips  Mad Cheddar & Sour Creme,Shearer's Foods Inc.,Salty snacks,D,5,35.27,5.29,17.625,0.705,7.05,2289.0,52.91,0,0,https://world-fr.openfoodfacts.org/produit/0037578617637,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617651,Taste Works  Tortilla Chips  Ranchfest,Shearer's Foods Inc.,Salty snacks,C,12,21.16,7.05,16.325,0.653,1.76,1992.0,65.26,0,0,https://world-fr.openfoodfacts.org/produit/0037578617651,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'37578617682,Shearer's  Kettle Chips  Sea Salt & Pepper Flavored,Shearer's Foods Inc.,Salty snacks,D,5,28.57,7.14,16.975,0.679,7.14,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578617682,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617774,Medallion  Nacho Cheese Tortilla Chips,Shearer's Foods Inc.,Salty snacks,D,7,21.43,7.14,1.965,0.786,3.57,2092.0,67.86,0,0,https://world-fr.openfoodfacts.org/produit/0037578617774,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617828,Chili cheese corn chips  chili cheese,Clover Valley   Shearer's Foods Inc.,Salty snacks,D,5,32.14,3.57,2.5,1.0,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0037578617828,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617842,Potato chips  salt & vinegar,Shearer's Foods Inc.,Salty snacks,D,4,35.71,3.57,1.965,0.786,3.57,2243.0,53.57,0,0,https://world-fr.openfoodfacts.org/produit/0037578617842,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578617996,Circle k  favorites  kettle chips  jalapeno,Circle K   Shearer's Foods Inc.,Salty snacks,D,1,28.57,7.14,1.34,0.536,7.14,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578617996,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578618009,Fauorites  Kettle Chips,Shearer's Foods Inc.,Salty snacks,D,3,28.57,3.57,1.875,0.75,7.14,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578618009,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578618030,Kettle potato chips,Shearer's Foods Inc.,Salty snacks,D,1,28.57,7.14,1.16,0.464,7.14,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0037578618030,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'37578800824,Jimmy Chips Jalapeno,Gourmet sandwiches,Salty snacks,C,1,17.0,3.0,0.8,0.32,3.0,1213.0,33.0,0,0,https://world-fr.openfoodfacts.org/produit/0037578800824,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'37600200608,Meat Snack Mix,Hormel,Salty snacks,E,4,22.22,20.0,4.11,1.644,6.67,1954.0,46.67,0,0,https://world-fr.openfoodfacts.org/produit/0037600200608,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'38000138546,Potato crisps  bbq,Pringles,Salty snacks,D,7,32.14,3.57,12.025,0.481,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000138546,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000138607,Pringles Crisps Salt & Vinegar 5.5oz,Pringles,Salty snacks,E,3,30.8,4.1,16.075,0.643,4.4,2184.0,57.3,0,0,https://world-fr.openfoodfacts.org/produit/0038000138607,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'38000138768,Potato crisps  cheese burger,Pringles,Salty snacks,E,11,32.14,3.57,21.475,0.859,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000138768,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'38000163470,Pringles Loud Crisps Mighty Margherita Pizza 5.1oz,Pringles,Salty snacks,D,4,24.1,5.4,1.785,0.714,5.6,2038.0,62.7,0,0,https://world-fr.openfoodfacts.org/produit/0038000163470,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000163494,Pringles Loud Crisps Fiesta Salsa 5.4oz,Pringles,Salty snacks,E,9,27.2,5.7,27.675,1.107,3.7,2113.0,60.2,0,0,https://world-fr.openfoodfacts.org/produit/0038000163494,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'38000169335,Jalapeno potato crisps  jalapeno,Pringles,Salty snacks,D,8,32.14,3.57,1.59,0.636,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000169335,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000844874,Pringles  reduced fat potato chips  original  original,Pringles,Salty snacks,D,1,25.0,3.57,1.165,0.466,0.0,2092.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0038000844874,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000844966,Potato crisps,Pringles,Salty snacks,D,1,32.14,3.57,13.525,0.541,0.0,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000844966,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000845017,Pringles  jalapeno potato crisp,Pringles,Salty snacks,D,8,32.14,3.57,1.59,0.636,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000845017,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000845024,Potato crisps,Pringles,Salty snacks,D,7,32.14,3.57,16.125,0.645,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000845024,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000845031,Pringles Honey Mustard,Pringles,Salty snacks,E,5,32.1,3.6,1.9,0.76,0.0,2243.0,57.1,0,1,https://world-fr.openfoodfacts.org/produit/0038000845031,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'38000845253,Potato crisps  sour cream & onion,Pringles,Salty snacks,D,7,32.14,3.57,14.475,0.579,3.57,2243.0,53.57,0,0,https://world-fr.openfoodfacts.org/produit/0038000845253,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'38000847561,Pringles  potato crisps cheese burger,Pringles,Salty snacks,E,10,32.14,3.57,21.475,0.859,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038000847561,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'38259103210,Flavored wavy potato chips,se grocers ,Salty snacks,D,6,32.14,7.14,2.41,0.964,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0038259103210,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'39466004062,Mexsnax  Lolitos  Wheat Snack Chips  Mexican,L. Gonzalez Enterprises Inc.,Salty snacks,E,1,42.86,7.14,28.575,1.143,0.0,2389.0,50.0,0,0,https://world-fr.openfoodfacts.org/produit/0039466004062,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'39466004802,Mexsnax  Lolitos  Wheat Snack Chips,L. Gonzalez Enterprises Inc.,Salty snacks,E,2,42.86,7.14,28.575,1.143,0.0,2389.0,50.0,0,0,https://world-fr.openfoodfacts.org/produit/0039466004802,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'39466008008,Mexsnax  Lolitos  Wheat Snack Chips,L. Gonzalez Enterprises Inc.,Salty snacks,E,2,42.86,7.14,28.575,1.143,0.0,2389.0,50.0,0,0,https://world-fr.openfoodfacts.org/produit/0039466008008,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'39700005602,Clover club  potato chips,Clover   Clover Club,Salty snacks,D,1,32.14,7.14,16.075,0.643,0.0,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0039700005602,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'39700005701,Clover club  potato chips  sweet-hot sriracha,Clover   Clover Club Foods Company,Salty snacks,D,3,32.14,7.14,14.275,0.571,3.57,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0039700005701,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'39759156164,Corner store  kettle cooked potato chips  jalapeno,Corner Store   Hot Stop Foods,Salty snacks,D,3,25.0,7.14,16.975,0.679,0.0,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0039759156164,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'39759156188,Kettle cooked chips,Kettle   Corner Store,Salty snacks,D,3,25.0,7.14,21.425,0.857,3.57,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0039759156188,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41172000542,Maceys  Potato Chips  Barbeque Thin,Associated Food Stores  Inc.,Salty snacks,D,2,32.14,7.14,1.34,0.536,3.57,2243.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0041172000542,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41186182050,Andes  baking chips  creme de menthe,Andes,Salty snacks,E,3,35.0,5.0,0.095,0.038,52.5,2197.0,60.0,0,0,https://world-fr.openfoodfacts.org/produit/0041186182050,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'41186182067,Andes  baking chips  peppermint crunch,Andes,Salty snacks,E,4,35.0,5.0,0.155,0.062,57.5,2301.0,60.0,0,0,https://world-fr.openfoodfacts.org/produit/0041186182067,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'41190022168,Shoprite  sweet bread & butter chips,Shoprite,Salty snacks,,3,0.0,0.0,0.09,0.036,17.86,372.0,21.43,0,1,https://world-fr.openfoodfacts.org/produit/0041190022168,C,B,C,C,D,C,Qualité nutritionnelle moyenne,Bonne qualité nutritionnelle,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Qualité nutritionnelle moyenne,
'41190028771,Shoprite  sweet bread & butter chips,Shoprite,Salty snacks,,2,0.0,0.0,16.075,0.643,17.86,372.0,21.43,0,0,https://world-fr.openfoodfacts.org/produit/0041190028771,C,D,D,D,D,D,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'41190034536,Shoprite  hamburger dill chips,Shoprite,Salty snacks,,3,0.0,0.0,2.59,1.036,0.0,0.0,3.57,0,1,https://world-fr.openfoodfacts.org/produit/0041190034536,C,C,C,C,C,C,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,
'41190046140,Shoprite  sweet bread & butter chips,Shoprite,Salty snacks,,2,0.0,0.0,16.075,0.643,17.86,372.0,21.43,0,0,https://world-fr.openfoodfacts.org/produit/0041190046140,C,D,D,D,D,D,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'41190575329,Potato Chips  Salt & Vinegar,Shoprite,Salty snacks,,2,32.14,3.57,3.175,1.27,3.57,2243.0,53.57,0,0,https://world-fr.openfoodfacts.org/produit/0041190575329,D,D,D,D,D,D,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'41190761739,Sweet Bread & Butter Chips,Wakefern Food Corporation,Salty snacks,D,2,0.0,0.0,16.075,0.643,17.86,372.0,21.43,0,0,https://world-fr.openfoodfacts.org/produit/0041190761739,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41195004756,Chips,Picklefair,Salty snacks,,5,0.0,0.0,33.025,1.321,0.0,0.0,0.0,0,1,https://world-fr.openfoodfacts.org/produit/0041195004756,C,C,C,C,C,C,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,
'41200003002,Jays  potato chips  barbecue,Jays   Jays Foods Inc.,Salty snacks,D,3,31.69,7.04,2.2,0.88,3.52,2209.0,56.34,0,0,https://world-fr.openfoodfacts.org/produit/0041200003002,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200017009,Potato Chips,Jays,Salty snacks,D,3,31.69,7.04,22.875,0.915,3.52,2209.0,56.34,0,0,https://world-fr.openfoodfacts.org/produit/0041200017009,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200033641,Jays  ridges  potato chips  sour cream & onion,Jays   Jays Foods Inc.,Salty snacks,D,3,31.07,5.65,19.075,0.763,5.65,2125.0,56.5,0,0,https://world-fr.openfoodfacts.org/produit/0041200033641,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200033689,Jays  potato chips  barbecue,Jays   Jays Foods Inc.,Salty snacks,D,3,31.07,5.65,19.775,0.791,2.82,2247.0,59.32,0,0,https://world-fr.openfoodfacts.org/produit/0041200033689,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200034150,Jays  potato chips  barbecue,Jays,Salty snacks,D,3,32.14,7.14,22.325,0.893,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0041200034150,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200034167,Jays  potato chips  hot stuff,Jays,Salty snacks,D,3,32.14,7.14,23.225,0.929,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0041200034167,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200034198,open pit bbq potato chips,Jays   Jays Foods Inc.,Salty snacks,D,2,285.714,71.429,2.5,1.0,71429.0,2241.0,571.429,0,0,https://world-fr.openfoodfacts.org/produit/0041200034198,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200034204,Potato Chips  Cheddar & Sour Cream,Jays   Jays Foods Inc.,Salty snacks,,1,32.14,7.14,199.644,0.798576,3.57,2389.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0041200034204,D,E,D,D,D,D,Mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'41200034211,Jays  ridges potato chips  sour cream & onion,Jays,Salty snacks,D,3,32.14,7.14,21.425,0.857,3.57,2389.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0041200034211,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200096707,Krunchers!  Kettle Cooked Potato Chips  Jalapeno,Jays   Jays Foods Inc.,Salty snacks,,1,23.53,7.06,227.076,0.908304,2.35,2067.0,61.18,0,0,https://world-fr.openfoodfacts.org/produit/0041200096707,D,D,D,D,D,D,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'41200096721,Jays  krunchers!  kettle cooked potato chips  mesquite bbq,Jays   Jays Foods Inc.,Salty snacks,D,2,23.53,7.06,1.53,0.612,4.71,2067.0,58.82,0,0,https://world-fr.openfoodfacts.org/produit/0041200096721,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200097209,Kettle cooked potato chips,Jays,Salty snacks,D,2,24.65,7.04,2.2,0.88,3.52,2209.0,63.38,0,0,https://world-fr.openfoodfacts.org/produit/0041200097209,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200097216,Kettle cooked potato chips,Kettle   Krunchers!,Salty snacks,D,8,25.0,7.14,26.775,1.071,0.0,2092.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0041200097216,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200097421,Jays  krunchers  kettle cooked flavored potato chips  sweet hawaiian style onion,Jays   Jays Foods Inc.,unknown,C,3,24.65,7.04,0.8375,0.335,7.04,2063.0,59.86,0,0,https://world-fr.openfoodfacts.org/produit/0041200097421,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'41200098923,Jays  krunchers!  kettle cooked potato chips  sweet hawaiian style onion  sweet hawaiian style onion,Jays   Jays Foods Inc.,Salty snacks,D,3,25.0,7.14,1.25,0.5,7.14,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0041200098923,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200098947,Jays  krunchers!  kettle cooked potato chips  mesquite bbq  mesquite bbq,Jays   Jays Foods Inc.,Salty snacks,D,2,25.0,7.14,15.175,0.607,7.14,2092.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0041200098947,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200098961,Jays  krunchers!  kettle cooked potato chips  kosher dill  kosher dill,Jays   Jays Foods Inc.,Salty snacks,D,2,25.0,7.14,22.325,0.893,3.57,2243.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0041200098961,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200098992,Jays  krunchers!  kettle cooked potato chips  mesquite bbq,Jays   Jays Foods Inc.,unknown,C,2,22.56,5.64,1.55,0.62,5.64,1966.0,60.15,0,0,https://world-fr.openfoodfacts.org/produit/0041200098992,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'41200099012,Jays  krunchers!  kettle cooked potato chips  kosher dill,Jays   Jays Foods Inc.,Salty snacks,D,2,22.56,5.64,22.075,0.883,1.88,1966.0,60.15,0,0,https://world-fr.openfoodfacts.org/produit/0041200099012,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200099036,Jays  krunchers!  kettle cooked potato chips  sweet hawaiian style onion,Jays   Jays Foods Inc.,unknown,C,3,22.56,7.52,0.845,0.338,5.64,2046.0,58.27,0,0,https://world-fr.openfoodfacts.org/produit/0041200099036,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'41200104402,Jays  potato chips  bacon cheddar,Jays,Salty snacks,D,5,32.14,3.57,1.16,0.464,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0041200104402,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200104495,Jays  krunchers!  kettle cooked potato chips  sriracha,Jays   Jays Foods Inc.,Salty snacks,D,8,25.0,7.14,2.41,0.964,3.57,2092.0,64.29,0,0,https://world-fr.openfoodfacts.org/produit/0041200104495,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41200104518,Jays  potato chips  hot stuff,Jays   Jays Foods Inc.,Salty snacks,D,3,32.14,7.14,23.225,0.929,3.57,2243.0,57.14,0,0,https://world-fr.openfoodfacts.org/produit/0041200104518,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41220002535,Central market  baked multigrain pita chips,Central Market   H E Butt Grocery Company,Salty snacks,D,3,17.86,10.71,2.41,0.964,3.57,2092.0,67.86,0,0,https://world-fr.openfoodfacts.org/produit/0041220002535,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41220052295,Exotic Vegetable Chips  Sweet Potato Fries,H-E-B,Salty snacks,,3,25.0,7.14,113.284,0.453136,28.57,2092.0,60.71,0,0,https://world-fr.openfoodfacts.org/produit/0041220052295,D,D,D,D,E,E,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,
'41220344062,H-e-b  kettle cooked potato chips  mesquite bbq,H-E-B   H E Butt Grocery Company,Salty snacks,D,2,28.57,7.14,16.075,0.643,2.38,2192.0,61.9,0,0,https://world-fr.openfoodfacts.org/produit/0041220344062,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'41220795536,H-e-b  delicatessen  pita chips  hatch chile,H-E-B,Composite foods,C,3,10.71,14.29,14.275,0.571,3.57,1795.0,67.86,0,0,https://world-fr.openfoodfacts.org/produit/0041220795536,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'41220902996,Cantinero Snack Mix  Peanuts And Chips With Chili And Garlic,Hill Country Fare,Salty snacks,E,1,36.67,26.67,2.0,0.8,0.0,2372.0,30.0,0,0,https://world-fr.openfoodfacts.org/produit/0041220902996,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'41220961849,Baked Multigrain Pita Chips,H-E-B,Composite foods,B,1,14.29,14.29,1.25,0.5,3.57,1941.0,67.86,0,0,https://world-fr.openfoodfacts.org/produit/0041220961849,,,,,,,,,,,,,Bonne qualité nutritionnelle
'41234713113,Seafood batter mix fish'n chips  seafood batter,Mccormick,Salty snacks,,3,0.0,6.9,8.275,3.31,0.0,1443.0,72.41,0,0,https://world-fr.openfoodfacts.org/produit/0041234713113,E,D,D,C,D,D,Très mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Mauvaise qualité nutritionnelle,
'41250001263,Baking Chips  Vanilla White,Meijer,Salty snacks,,1,26.67,6.67,0.17018,0.068072,66.67,2230.0,66.67,0,0,https://world-fr.openfoodfacts.org/produit/0041250001263,E,E,E,E,E,E,Très mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,Très mauvaise qualité nutritionnelle,
'41250001270,Butter scotch baking chips  butter scotch,Meijer,Salty snacks,E,4,23.33,0.0,0.25,0.1,73.33,2230.0,73.33,0,0,https://world-fr.openfoodfacts.org/produit/0041250001270,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
